Month,East_North_Central_NSA,East_North_Central_SA,East_South_Central_NSA,East_South_Central_SA,Middle_Atlantic_NSA,Middle_Atlantic_SA,Mountain_NSA,Mountain_SA,New_England_NSA,New_England_SA,Pacific_NSA,Pacific_SA,South_Atlantic_NSA,South_Atlantic_SA,West_North_Central_NSA,West_North_Central_SA,West_South_Central_NSA,West_South_Central_SA,USA_NSA,USA_SA
1995-01-01 00:00:00,119.01,119.25,117.66,117.69,100.32,100.48,131.36,131.84,96.15,96.18,95.93,96.1,110.29,110.09,117.78,118.09,113.83,113.87,110.39,110.49
1995-02-01 00:00:00,119.87,119.87,119.18,118.98,100.35,100.9,132.51,133.2,96.02,96.9,96.03,96.58,110.83,110.64,118.64,118.86,114.2,114.1,110.91,111.11
1995-03-01 00:00:00,120.39,120.04,119.65,119.17,101.08,100.94,132.74,133.13,96.64,96.91,95.62,95.69,110.64,110.21,119.42,119,114.14,113.96,111.12,110.93
1995-04-01 00:00:00,121.65,120.78,119.32,118.72,101.56,101.27,134.21,133.86,96.91,97.03,95.36,95.23,110.96,110.39,120.14,119.5,115.22,114.82,111.66,111.2
1995-05-01 00:00:00,121.97,120.72,119.92,119.29,101.83,101.02,134.66,134.1,97.77,97.41,96.08,95.6,110.92,110.5,120.82,119.91,115.79,114.9,112.09,111.35
1995-06-01 00:00:00,123.19,121.53,121.69,120.68,102.56,101.24,136.13,135.41,98.65,97.3,96.08,95.35,111.8,110.82,121.83,120.61,115.93,114.82,112.88,111.73
1995-07-01 00:00:00,123.63,122.16,122.09,121.26,102.71,101.16,136.59,135.85,98.93,97.9,96.49,95.6,112.49,111.67,122.43,121.03,116.81,115.71,113.38,112.25
1995-08-01 00:00:00,124.23,122.84,122.08,121,103.53,101.91,137.32,136.43,98.88,97.9,96.53,95.69,112.73,111.7,123,121.65,116.98,115.75,113.73,112.54
1995-09-01 00:00:00,124.48,123.33,122.42,121.61,102.26,101.35,137.86,137.19,98.29,97.44,96.03,95.44,112.95,112.1,123.39,122.28,117.31,116.54,113.65,112.78
1995-10-01 00:00:00,124.69,123.67,123.19,122.72,101.79,100.9,137.57,137.01,98.39,97.85,95.7,95.4,112.62,111.98,123.55,122.86,116.79,116.1,113.5,112.82
1995-11-01 00:00:00,124.64,123.97,123.42,122.86,101.54,101.03,137.51,137.48,98.13,97.65,95.54,95.47,113.09,112.41,123.41,122.82,117.42,116.67,113.58,113.06
1995-12-01 00:00:00,125.05,124.76,123.55,123.31,101.63,101.44,138.33,138.49,97.89,97.94,95.41,95.46,112.83,112.52,123.97,123.72,117.77,117.56,113.71,113.53
1996-01-01 00:00:00,124.81,125.14,123.76,123.76,101.38,101.58,138.1,138.75,99.92,100.06,95.52,95.77,113.56,113.33,123.39,123.81,117.26,117.31,113.81,113.96
1996-02-01 00:00:00,125.86,125.84,123.64,123.47,101.27,101.89,138.55,139.33,98.66,99.62,95.15,95.71,113.36,113.13,123.97,124.25,117.77,117.69,113.91,114.13
1996-03-01 00:00:00,126.66,126.29,124.46,123.98,102.37,102.26,139.93,140.2,98.8,99.24,95.69,95.69,114.45,113.96,125.33,124.87,118.24,118.04,114.77,114.54
1996-04-01 00:00:00,128.22,127.34,125.38,124.72,102.18,101.91,141.21,140.73,99.22,99.28,95.75,95.55,114.61,114.02,126.32,125.65,118.57,118.09,115.3,114.8
1996-05-01 00:00:00,128.92,127.54,126.27,125.53,103.13,102.25,141.44,140.78,100.41,99.95,96.15,95.53,114.73,114.21,126.97,125.89,119.38,118.41,115.9,115.06
1996-06-01 00:00:00,129.42,127.7,126.62,125.48,103.5,102.04,142.02,141.27,101.51,99.99,96.46,95.64,115.29,114.2,127.35,126.02,120.06,118.89,116.41,115.16
1996-07-01 00:00:00,130.02,128.41,127.61,126.72,103.66,102,142.9,142.03,101.15,99.94,96.82,95.88,115.63,114.76,128.13,126.59,119.93,118.75,116.79,115.55
1996-08-01 00:00:00,129.79,128.31,127.65,126.6,103.79,102.08,142.66,141.77,101.35,100.23,96.47,95.62,116.04,114.99,128.15,126.7,120.1,118.84,116.8,115.56
1996-09-01 00:00:00,130.02,128.8,127.73,126.96,102.84,101.93,143.08,142.33,101.57,100.64,96.27,95.76,116.15,115.28,128.37,127.21,120.07,119.26,116.75,115.86
1996-10-01 00:00:00,129.84,128.77,128.14,127.73,102.59,101.76,143.16,142.63,100.87,100.26,96.25,96.02,116.12,115.49,128.3,127.54,119.77,119.12,116.63,115.97
1996-11-01 00:00:00,130.63,129.97,128.03,127.46,102.73,102.3,142.93,142.97,100.42,100.05,96.38,96.34,115.82,115.25,128.41,127.78,120.09,119.39,116.75,116.28
1996-12-01 00:00:00,130.43,130.19,128.36,128.12,102.1,101.93,142.63,142.9,100.92,101.03,96.37,96.53,116.08,115.81,128.96,128.81,120.21,120,116.77,116.64
1997-01-01 00:00:00,129.9,130.29,128.35,128.27,102.17,102.32,143.09,143.85,101.15,101.35,95.91,96.22,116.38,116.13,128.27,128.76,119.86,119.95,116.61,116.78
1997-02-01 00:00:00,130.53,130.5,129.74,129.57,101.95,102.62,143.46,144.26,99.88,100.82,95.72,96.24,116.66,116.43,128.89,129.21,120.57,120.49,116.87,117.09
1997-03-01 00:00:00,131.71,131.28,129.72,129.27,102.47,102.38,144.66,144.75,100.87,101.39,96.93,96.85,117.67,117.17,130.27,129.79,121.12,120.89,117.8,117.55
1997-04-01 00:00:00,132.09,131.21,130.41,129.71,103.04,102.8,145.65,145.07,102.45,102.44,97.86,97.59,117.57,116.98,130.24,129.57,121.36,120.79,118.29,117.76
1997-05-01 00:00:00,133.5,132.01,130.26,129.44,104.37,103.49,146.05,145.34,102.84,102.32,98.54,97.79,117.84,117.22,131.84,130.62,122.41,121.4,119.13,118.2
1997-06-01 00:00:00,133.96,132.2,131.21,129.98,104.4,102.83,146.33,145.5,104.21,102.58,98.8,97.91,118.73,117.58,131.65,130.2,122.61,121.42,119.58,118.25
1997-07-01 00:00:00,134.32,132.58,131.48,130.54,104.73,103,146.81,145.88,104.09,102.75,99.55,98.6,118.14,117.25,132.84,131.18,122.89,121.61,119.85,118.55
1997-08-01 00:00:00,134.49,132.94,131.85,130.86,105.05,103.32,147.27,146.38,104.67,103.42,99.98,99.15,119.11,118.08,132.82,131.29,122.92,121.63,120.26,118.99
1997-09-01 00:00:00,134.41,133.13,131.37,130.6,104.12,103.13,147.27,146.51,104.08,103.05,99.96,99.49,119.03,118.15,133.36,132.14,122.88,122.07,120.08,119.15
1997-10-01 00:00:00,134.78,133.68,131.25,130.86,105.28,104.46,147.57,147.08,105.19,104.45,99.96,99.79,119.24,118.59,133.29,132.49,123.33,122.71,120.45,119.77
1997-11-01 00:00:00,134.69,134.04,131.95,131.37,103.89,103.46,147.29,147.36,105.06,104.69,100.84,100.83,119.87,119.38,133.25,132.58,123.97,123.32,120.6,120.16
1997-12-01 00:00:00,134.55,134.36,132.12,131.86,104.38,104.18,147.59,147.97,105.34,105.45,100.76,100.98,119.91,119.64,132.84,132.8,123.89,123.7,120.65,120.54
1998-01-01 00:00:00,134.5,134.9,132.75,132.57,104.03,104.1,147.44,148.25,103.95,104.24,101.35,101.74,119.99,119.72,134.32,134.83,124.35,124.49,120.82,121
1998-02-01 00:00:00,135.64,135.63,132.76,132.55,104.26,104.97,148.55,149.33,106.37,107.42,102.38,102.89,120.78,120.53,134.56,134.93,125.03,124.96,121.65,121.87
1998-03-01 00:00:00,136.49,136.01,133.97,133.56,105.75,105.73,149.47,149.43,106.57,107.19,103.5,103.35,121.39,120.87,135.41,134.95,125.61,125.34,122.55,122.27
1998-04-01 00:00:00,137.25,136.37,134.62,133.89,106.28,106.09,150.96,150.39,108.04,108.01,104.96,104.6,121.95,121.31,135.81,135.13,126.21,125.53,123.39,122.82
